TAP_Chains_Name	Bypassreg	SIZE	Fublets	MIFS	Instance	ChainName	PowerDomain	ControlPowerSupply
			IDVDIGTCFABRIC01.ADDR	e8xmidvtdnhmif	par_tc_fabric.iov_tc_fabric.idvdigtcfabric01_wrap.idvdigtcfabric01	par_tc_fabric_chain_0	vccsa	vccsa
TAP CDU_TUNNEL_FABRIC_SA_TAP6	IOVCTL	SIZE = 53;	IDV_CHAIN					
			IDVDIGOPIFABRIC05.ADDR	e8xmidvtdnhmif	par_opi_fabric.iov_opi_fabric.idvdigopifabric05_wrap.idvdigopifabric05	par_opi_fabric_chain_0	vccsa	vccsa
			IDVDIGOPIFABRIC03.ADDR	e8xmidvtdnhmif	par_opi_fabric.iov_opi_fabric.idvdigopifabric03_wrap.idvdigopifabric03	par_opi_fabric_chain_0	vccsa	vccsa
			IDVDIGOPIFABRIC02.ADDR	e8xmidvtdnhmif	par_opi_fabric.iov_opi_fabric.idvdigopifabric02_wrap.idvdigopifabric02	par_opi_fabric_chain_0	vccsa	vccsa
TAP CBO0	IDVCTL	SIZE = 144;	IDV_CHAIN					
			IDVCBO020.addr	e8xmidvtdnhmif	ccf.cbopair0wrapper.cbopair0.cbotop.cbo_idv.idvcbo020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_0	vss()	N/A
			IDVTAG010.addr	e8xmidvwdnhmif	ccf.cbopair0wrapper.cbopair0.tagtop_idv.idvtag010.e8xmidvwdnhmif_wrap.e8xmidvwdnhmif	ccf_chain_0	vss()	N/A
			IDVCBO010.addr	e8xmidvtdnhmif	ccf.cbopair0wrapper.cbopair0.cbotop.cbo_idv.idvcbo010.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_0	vss()	N/A
TAP CBO0	IDVCTL_LLC0	SIZE = 85;	IDV_CHAIN					
			IDVLLC025.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc025.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC020.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC010.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc010.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
TAP CBO0	IDVCTL_LLC1	SIZE = 85;	IDV_CHAIN					
			IDVLLC025.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc025.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
			IDVLLC020.addr	e8xmidvtdnhmif	ccf.llcdatap0h0wrapper.llcdatap0h0.llc_idv1.idvllc020.e8xmidvtdnhmif_wrap.e8xmidvtdnhmif	ccf_chain_1	vss()	N/A
